journal,year,volume,issue,article,title,pages,words,url,filename
Duke Law Journal,2004,54,1,1,CARRIER FINAL.DOC 2/25/2005 2:30 PM,145,74038,https://scholarship.law.duke.edu/dlj/vol54/iss1/1/,duke_2004_vol54_iss1_art1.pdf
Duke Law Journal,2004,54,1,2,BAIRD FINAL.DOC 2/25/2005 2:30 PM,32,14481,https://scholarship.law.duke.edu/dlj/vol54/iss1/2/,duke_2004_vol54_iss1_art2.pdf
Duke Law Journal,2004,54,1,3,HARLAN FINAL.DOC 2/25/2005 2:31 PM,41,17220,https://scholarship.law.duke.edu/dlj/vol54/iss1/3/,duke_2004_vol54_iss1_art3.pdf
Duke Law Journal,2004,54,1,4,MOORCROFT FINAL.DOC 2/25/2005 2:31 PM,34,16671,https://scholarship.law.duke.edu/dlj/vol54/iss1/4/,duke_2004_vol54_iss1_art4.pdf
Duke Law Journal,2004,54,1,5,RAFOTH FINAL.DOC 2/25/2005 2:31 PM,38,18106,https://scholarship.law.duke.edu/dlj/vol54/iss1/5/,duke_2004_vol54_iss1_art5.pdf
Duke Law Journal,2004,54,1,6,VOLUME 54 OCTOBER 2004 NUMBER 1,1,191,https://scholarship.law.duke.edu/dlj/vol54/iss1/6/,duke_2004_vol54_iss1_art6.pdf
Duke Law Journal,2004,54,2,1,MOLL FINAL.DOC 6/6/2005 10:36 AM,91,48582,https://scholarship.law.duke.edu/dlj/vol54/iss2/1/,duke_2004_vol54_iss2_art1.pdf
Duke Law Journal,2004,54,2,2,SUNSTEIN FINAL.DOC 6/6/2005 10:36 AM,61,27070,https://scholarship.law.duke.edu/dlj/vol54/iss2/2/,duke_2004_vol54_iss2_art2.pdf
Duke Law Journal,2004,54,2,3,RHODE FINAL.DOC 6/6/2005 10:37 AM,37,15846,https://scholarship.law.duke.edu/dlj/vol54/iss2/3/,duke_2004_vol54_iss2_art3.pdf
Duke Law Journal,2004,54,2,4,LIN FINAL.DOC 6/6/2005 10:37 AM,27,11740,https://scholarship.law.duke.edu/dlj/vol54/iss2/4/,duke_2004_vol54_iss2_art4.pdf
Duke Law Journal,2004,54,2,5,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol54/iss2/5/,duke_2004_vol54_iss2_art5.pdf
Duke Law Journal,2004,54,2,6,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol54/iss2/6/,duke_2004_vol54_iss2_art6.pdf
Duke Law Journal,2004,54,2,7,WHITESELL FINAL.DOC 6/6/2005 10:38 AM,33,13841,https://scholarship.law.duke.edu/dlj/vol54/iss2/7/,duke_2004_vol54_iss2_art7.pdf
Duke Law Journal,2004,54,2,8,VOLUME 54 NOVEMBER 2004 NUMBER 2,1,190,https://scholarship.law.duke.edu/dlj/vol54/iss2/8/,duke_2004_vol54_iss2_art8.pdf
Duke Law Journal,2004,54,3,1,GOODMAN & JINKS FINAL.DOC 8/12/2005 10:48 AM,83,34367,https://scholarship.law.duke.edu/dlj/vol54/iss3/1/,duke_2004_vol54_iss3_art1.pdf
Duke Law Journal,2004,54,3,2,WITT FINAL.DOC 8/12/2005 10:49 AM,59,24701,https://scholarship.law.duke.edu/dlj/vol54/iss3/2/,duke_2004_vol54_iss3_art2.pdf
Duke Law Journal,2004,54,3,3,AIZEN FINAL.DOC 8/12/2005 10:47 AM,30,14892,https://scholarship.law.duke.edu/dlj/vol54/iss3/3/,duke_2004_vol54_iss3_art3.pdf
Duke Law Journal,2004,54,3,4,VOLUME 54 DECEMBER 2004 NUMBER 3,1,190,https://scholarship.law.duke.edu/dlj/vol54/iss3/4/,duke_2004_vol54_iss3_art4.pdf
Duke Law Journal,2004,54,4,1,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol54/iss4/1/,duke_2004_vol54_iss4_art1.pdf
Duke Law Journal,2004,54,4,2,110105 02_HORNSTEIN.DOC 12/12/2005 3:10 PM,48,22051,https://scholarship.law.duke.edu/dlj/vol54/iss4/2/,duke_2004_vol54_iss4_art2.pdf
Duke Law Journal,2004,54,4,3,101805 03_ALVAREZ.DOC 12/12/2005 3:11 PM,14,6043,https://scholarship.law.duke.edu/dlj/vol54/iss4/3/,duke_2004_vol54_iss4_art3.pdf
Duke Law Journal,2004,54,4,4,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol54/iss4/4/,duke_2004_vol54_iss4_art4.pdf
Duke Law Journal,2004,54,4,5,101805 05_GOODMANJINKS.DOC 12/12/2005 3:15 PM,16,6807,https://scholarship.law.duke.edu/dlj/vol54/iss4/5/,duke_2004_vol54_iss4_art5.pdf
Duke Law Journal,2004,54,4,6,101805 06_BROOK.DOC 12/12/2005 3:16 PM,31,13714,https://scholarship.law.duke.edu/dlj/vol54/iss4/6/,duke_2004_vol54_iss4_art6.pdf
Duke Law Journal,2004,54,4,7,110105 07_CHEW.DOC 12/12/2005 3:16 PM,30,12113,https://scholarship.law.duke.edu/dlj/vol54/iss4/7/,duke_2004_vol54_iss4_art7.pdf
Duke Law Journal,2004,54,4,8,101805 08_WIERSMA.DOC 12/12/2005 3:39 PM,28,11751,https://scholarship.law.duke.edu/dlj/vol54/iss4/8/,duke_2004_vol54_iss4_art8.pdf
Duke Law Journal,2004,54,4,9,VOLUME 54 FEBRUARY 2005 NUMBER 4,1,187,https://scholarship.law.duke.edu/dlj/vol54/iss4/9/,duke_2004_vol54_iss4_art9.pdf
Duke Law Journal,2004,54,5,1,BARNES FIG 2 UPDATE 12-2-05.DOC 12/19/2005 3:01 PM,53,21971,https://scholarship.law.duke.edu/dlj/vol54/iss5/1/,duke_2004_vol54_iss5_art1.pdf
Duke Law Journal,2004,54,5,2,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol54/iss5/2/,duke_2004_vol54_iss5_art2.pdf
Duke Law Journal,2004,54,5,3,110305 HOWARD.DOC 12/19/2005 3:05 PM,32,15168,https://scholarship.law.duke.edu/dlj/vol54/iss5/3/,duke_2004_vol54_iss5_art3.pdf
Duke Law Journal,2004,54,5,4,110305 LONG.DOC 12/19/2005 3:06 PM,26,11512,https://scholarship.law.duke.edu/dlj/vol54/iss5/4/,duke_2004_vol54_iss5_art4.pdf
Duke Law Journal,2004,54,5,5,110305 PEED.DOC 12/19/2005 3:06 PM,34,14362,https://scholarship.law.duke.edu/dlj/vol54/iss5/5/,duke_2004_vol54_iss5_art5.pdf
Duke Law Journal,2004,54,5,6,VOLUME 54 MARCH 2005 NUMBER5,1,194,https://scholarship.law.duke.edu/dlj/vol54/iss5/6/,duke_2004_vol54_iss5_art6.pdf
Duke Law Journal,2004,54,6,1,012306 01_FOREWORD_VA TRIBUTE.DOC 2/6/2006 10:17 AM,3,873,https://scholarship.law.duke.edu/dlj/vol54/iss6/1/,duke_2004_vol54_iss6_art1.pdf
Duke Law Journal,2004,54,6,2,012306 02_CHEN.DOC 2/6/2006 10:18 AM,99,44891,https://scholarship.law.duke.edu/dlj/vol54/iss6/2/,duke_2004_vol54_iss6_art2.pdf
Duke Law Journal,2004,54,6,3,012306 03_CHOPER.DOC 2/6/2006 10:19 AM,67,29064,https://scholarship.law.duke.edu/dlj/vol54/iss6/3/,duke_2004_vol54_iss6_art3.pdf
Duke Law Journal,2004,54,6,4,012306 04_DEVINS.DOC 2/6/2006 10:19 AM,30,12734,https://scholarship.law.duke.edu/dlj/vol54/iss6/4/,duke_2004_vol54_iss6_art4.pdf
Duke Law Journal,2004,54,6,5,012306 05_EPPS.DOC 2/6/2006 10:20 AM,36,13516,https://scholarship.law.duke.edu/dlj/vol54/iss6/5/,duke_2004_vol54_iss6_art5.pdf
Duke Law Journal,2004,54,6,6,012306 06_KARST.DOC 2/6/2006 10:20 AM,31,13390,https://scholarship.law.duke.edu/dlj/vol54/iss6/6/,duke_2004_vol54_iss6_art6.pdf
Duke Law Journal,2004,54,6,7,012306 07_SMOLLA.DOC 2/6/2006 10:21 AM,38,17647,https://scholarship.law.duke.edu/dlj/vol54/iss6/7/,duke_2004_vol54_iss6_art7.pdf
Duke Law Journal,2004,54,6,8,012306 08_BLOCH.DOC 2/6/2006 10:22 AM,4,1465,https://scholarship.law.duke.edu/dlj/vol54/iss6/8/,duke_2004_vol54_iss6_art8.pdf
Duke Law Journal,2004,54,6,9,012306 09_KHALSA.DOC 2/6/2006 10:22 AM,29,14373,https://scholarship.law.duke.edu/dlj/vol54/iss6/9/,duke_2004_vol54_iss6_art9.pdf
Duke Law Journal,2004,54,6,10,VOLUME 54 APRIL 2005 NUMBER 6,1,188,https://scholarship.law.duke.edu/dlj/vol54/iss6/10/,duke_2004_vol54_iss6_art10.pdf
Duke Law Journal,2005,55,1,1,01_GRIFFITH.DOC 2/6/2006 4:00 PM,73,36188,https://scholarship.law.duke.edu/dlj/vol55/iss1/1/,duke_2005_vol55_iss1_art1.pdf
Duke Law Journal,2005,55,1,2,02_POSNER.DOC 2/6/2006 4:01 PM,78,32824,https://scholarship.law.duke.edu/dlj/vol55/iss1/2/,duke_2005_vol55_iss1_art2.pdf
Duke Law Journal,2005,55,1,3,03_BAKER.DOC 2/6/2006 4:02 PM,26,10874,https://scholarship.law.duke.edu/dlj/vol55/iss1/3/,duke_2005_vol55_iss1_art3.pdf
Duke Law Journal,2005,55,1,4,04_SINGH.DOC 2/6/2006 4:02 PM,30,13223,https://scholarship.law.duke.edu/dlj/vol55/iss1/4/,duke_2005_vol55_iss1_art4.pdf
Duke Law Journal,2005,55,1,5,VOLUME 55 OCTOBER 2005 NUMBER 1,1,208,https://scholarship.law.duke.edu/dlj/vol55/iss1/5/,duke_2005_vol55_iss1_art5.pdf
Duke Law Journal,2005,55,2,1,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol55/iss2/1/,duke_2005_vol55_iss2_art1.pdf
Duke Law Journal,2005,55,2,2,032006 02_RISTROPH.DOC 4/24/2006 12:27 PM,69,31416,https://scholarship.law.duke.edu/dlj/vol55/iss2/2/,duke_2005_vol55_iss2_art2.pdf
Duke Law Journal,2005,55,2,3,032006 03_BATES.DOC 4/24/2006 12:28 PM,39,16621,https://scholarship.law.duke.edu/dlj/vol55/iss2/3/,duke_2005_vol55_iss2_art3.pdf
Duke Law Journal,2005,55,2,4,032006 04_CHORAZAK.DOC 4/24/2006 12:28 PM,32,13382,https://scholarship.law.duke.edu/dlj/vol55/iss2/4/,duke_2005_vol55_iss2_art4.pdf
Duke Law Journal,2005,55,2,5,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol55/iss2/5/,duke_2005_vol55_iss2_art5.pdf
Duke Law Journal,2005,55,2,6,VOLUME 55 NOVEMBER 2005 NUMBER 2,1,190,https://scholarship.law.duke.edu/dlj/vol55/iss2/6/,duke_2005_vol55_iss2_art6.pdf
Duke Law Journal,2005,55,3,1,042706 01__DOLOVICH.DOC 5/23/2006 8:43 AM,110,53930,https://scholarship.law.duke.edu/dlj/vol55/iss3/1/,duke_2005_vol55_iss3_art1.pdf
Duke Law Journal,2005,55,3,2,042706 02__SCODRO.DOC 5/23/2006 8:43 AM,61,28356,https://scholarship.law.duke.edu/dlj/vol55/iss3/2/,duke_2005_vol55_iss3_art2.pdf
Duke Law Journal,2005,55,3,3,042706 03__GOLDMAN.DOC 5/23/2006 8:44 AM,32,13375,https://scholarship.law.duke.edu/dlj/vol55/iss3/3/,duke_2005_vol55_iss3_art3.pdf
Duke Law Journal,2005,55,3,4,042706 04__PLATTON.DOC 5/23/2006 8:45 AM,36,14582,https://scholarship.law.duke.edu/dlj/vol55/iss3/4/,duke_2005_vol55_iss3_art4.pdf
Duke Law Journal,2005,55,3,5,042706 05__WACHTEL.DOC 5/23/2006 8:46 AM,34,15001,https://scholarship.law.duke.edu/dlj/vol55/iss3/5/,duke_2005_vol55_iss3_art5.pdf
Duke Law Journal,2005,55,3,6,VOLUME 55 DECEMBER 2005 NUMBER 3,1,197,https://scholarship.law.duke.edu/dlj/vol55/iss3/6/,duke_2005_vol55_iss3_art6.pdf
Duke Law Journal,2005,55,4,1,01__GOSHEN_PARCHOMOVSKY.DOC 8/22/2006 8:47 AM,72,32021,https://scholarship.law.duke.edu/dlj/vol55/iss4/1/,duke_2005_vol55_iss4_art1.pdf
Duke Law Journal,2005,55,4,2,02__SAMUELSON.DOC 8/21/2006 8:42 AM,52,22937,https://scholarship.law.duke.edu/dlj/vol55/iss4/2/,duke_2005_vol55_iss4_art2.pdf
Duke Law Journal,2005,55,4,3,03__BREAU.DOC 8/22/2006 8:49 AM,29,15572,https://scholarship.law.duke.edu/dlj/vol55/iss4/3/,duke_2005_vol55_iss4_art3.pdf
Duke Law Journal,2005,55,4,4,04__LEERBERG.DOC 8/22/2006 9:11 AM,28,12542,https://scholarship.law.duke.edu/dlj/vol55/iss4/4/,duke_2005_vol55_iss4_art4.pdf
Duke Law Journal,2005,55,4,5,VOLUME 55 FEBRUARY 2006 NUMBER 4,1,185,https://scholarship.law.duke.edu/dlj/vol55/iss4/5/,duke_2005_vol55_iss4_art5.pdf
Duke Law Journal,2005,55,5,1,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol55/iss5/1/,duke_2005_vol55_iss5_art1.pdf
Duke Law Journal,2005,55,5,2,02__COGLIANESE.DOC 10/4/2006 1:09 PM,26,12186,https://scholarship.law.duke.edu/dlj/vol55/iss5/2/,duke_2005_vol55_iss5_art2.pdf
Duke Law Journal,2005,55,5,3,03__DE FIGUEIREDO.DOC 10/4/2006 1:09 PM,25,9433,https://scholarship.law.duke.edu/dlj/vol55/iss5/3/,duke_2005_vol55_iss5_art3.pdf
Duke Law Journal,2005,55,5,4,04__KUHN.DOC 10/4/2006 1:10 PM,30,12476,https://scholarship.law.duke.edu/dlj/vol55/iss5/4/,duke_2005_vol55_iss5_art4.pdf
Duke Law Journal,2005,55,5,5,05__ROMOHR.DOC 10/4/2006 1:10 PM,33,14005,https://scholarship.law.duke.edu/dlj/vol55/iss5/5/,duke_2005_vol55_iss5_art5.pdf
Duke Law Journal,2005,55,5,6,06__THEN.DOC 10/4/2006 1:10 PM,30,12355,https://scholarship.law.duke.edu/dlj/vol55/iss5/6/,duke_2005_vol55_iss5_art6.pdf
Duke Law Journal,2005,55,5,7,VOLUME 55 MARCH 2006 NUMBER 5,1,180,https://scholarship.law.duke.edu/dlj/vol55/iss5/7/,duke_2005_vol55_iss5_art7.pdf
Duke Law Journal,2005,55,6,1,01__BERGER.DOC 10/13/2006 8:47 AM,55,26014,https://scholarship.law.duke.edu/dlj/vol55/iss6/1/,duke_2005_vol55_iss6_art1.pdf
Duke Law Journal,2005,55,6,2,02__ZELENAK.DOC 10/13/2006 8:49 AM,37,15793,https://scholarship.law.duke.edu/dlj/vol55/iss6/2/,duke_2005_vol55_iss6_art2.pdf
Duke Law Journal,2005,55,6,3,03__EDEN.DOC 10/13/2006 8:50 AM,34,14962,https://scholarship.law.duke.edu/dlj/vol55/iss6/3/,duke_2005_vol55_iss6_art3.pdf
Duke Law Journal,2005,55,6,4,04__PATTERSON.DOC 10/13/2006 8:50 AM,30,12187,https://scholarship.law.duke.edu/dlj/vol55/iss6/4/,duke_2005_vol55_iss6_art4.pdf
Duke Law Journal,2005,55,6,5,VOLUME 55 APRIL 2006 NUMBER 6,1,186,https://scholarship.law.duke.edu/dlj/vol55/iss6/5/,duke_2005_vol55_iss6_art5.pdf
Duke Law Journal,2006,56,1,1,01__ADLER.DOC 11/14/2006 8:29 AM,50,19901,https://scholarship.law.duke.edu/dlj/vol56/iss1/1/,duke_2006_vol56_iss1_art1.pdf
Duke Law Journal,2006,56,1,2,02__APRILL_SCHMALBECK.DOC 11/14/2006 8:30 AM,50,21799,https://scholarship.law.duke.edu/dlj/vol56/iss1/2/,duke_2006_vol56_iss1_art2.pdf
Duke Law Journal,2006,56,1,3,03__DEPOORTER.DOC 11/14/2006 8:31 AM,25,10913,https://scholarship.law.duke.edu/dlj/vol56/iss1/3/,duke_2006_vol56_iss1_art3.pdf
Duke Law Journal,2006,56,1,4,04__GARRETT_TETLOW.DOC 11/14/2006 8:38 AM,52,23431,https://scholarship.law.duke.edu/dlj/vol56/iss1/4/,duke_2006_vol56_iss1_art4.pdf
Duke Law Journal,2006,56,1,5,05__KYSAR_MCGARITY FINAL.DOC 11/14/2006 8:38 AM,57,22088,https://scholarship.law.duke.edu/dlj/vol56/iss1/5/,duke_2006_vol56_iss1_art5.pdf
Duke Law Journal,2006,56,1,6,06__ROSSI.DOC 11/14/2006 8:39 AM,41,17202,https://scholarship.law.duke.edu/dlj/vol56/iss1/6/,duke_2006_vol56_iss1_art6.pdf
Duke Law Journal,2006,56,1,7,unknown title,0,0,https://scholarship.law.duke.edu/dlj/vol56/iss1/7/,duke_2006_vol56_iss1_art7.pdf
Duke Law Journal,2006,56,1,8,08__JAMESON.DOC 11/14/2006 8:42 AM,32,14810,https://scholarship.law.duke.edu/dlj/vol56/iss1/8/,duke_2006_vol56_iss1_art8.pdf
Duke Law Journal,2006,56,1,9,09__ROBINSON.DOC 11/14/2006 8:42 AM,33,14155,https://scholarship.law.duke.edu/dlj/vol56/iss1/9/,duke_2006_vol56_iss1_art9.pdf
Duke Law Journal,2006,56,1,10,VOLUME 56 OCTOBER 2006 NUMBER 1,1,218,https://scholarship.law.duke.edu/dlj/vol56/iss1/10/,duke_2006_vol56_iss1_art10.pdf
